,Prduct_url,title_name,best_price,Vehicle type:,Usage:,Manufacturer:,Width:,Height:,Construction:,Diameter:,Load index:,Speed index:,EAN:,EU tyre label:,Customer reviews:,Runflat:
46,https://www.tyres-online.in/bridgestone-potenza-re-050-a-225-50-r17-94y--11759814,Bridgestone Potenza RE 050 A 225/50 R17 94Y,['15500.0'],Car,Summer,Bridgestone,225,50,R,17,94,Y,3286340314916,B,F,
47,https://www.tyres-online.in/michelin-pilot-sport-ps2-255-40-r19-100y--9396351,Michelin Pilot Sport PS2 255/40 R19 100Y,['20000.0'],Car,Summer,Michelin,255,40,R,19,100,Y,3528706234194,B,E,
48,https://www.tyres-online.in/continental-contisportcontact-5-245-40-r18-97y--13598861,Continental ContiSportContact 5 245/40 R18 97Y,['17500.0'],Car,Summer,Continental,245,40,R,18,97,Y,4019238659160,A,C,
49,https://www.tyres-online.in/yokohama-c.-drive-2-ac02a-235-50-r18-97v--16285914,Yokohama c. drive 2 AC02A 235/50 R18 97V,['14500.0'],Car,Summer,Yokohama,235,50,R,18,97,V,4968814812607,C,C,
50,https://www.tyres-online.in/michelin-pilot-sport-3-245-45-zr17-99y--6971489,Michelin Pilot Sport 3 245/45 ZR17 99Y,['11000.0'],Car,Summer,Michelin,245,45,ZR,17,99,Y,3528709600132,A,E,
51,https://www.tyres-online.in/continental-contisportcontact-5p-235-40-zr18-95y--15818912,Continental ContiSportContact 5P 235/40 ZR18 95Y,['17500.0'],Car,Summer,Continental,235,40,ZR,18,95,Y,4019238453485,B,F,
52,https://www.tyres-online.in/pirelli-p-zero-pz4-sc-245-40-zr19-98y--15958157,Pirelli P Zero PZ4 SC 245/40 ZR19 98Y,['21000.0'],Car,Summer,Pirelli,245,40,ZR,19,98,Y,8019227251562,A,C,
53,https://www.tyres-online.in/bridgestone-potenza-s001-245-45-r19-98y--11169982,Bridgestone Potenza S001 245/45 R19 98Y,['23000.0'],Car,Summer,Bridgestone,245,45,R,19,98,Y,3286340629119,E,,
54,https://www.tyres-online.in/pirelli-cinturato-p7-runflat-245-50-r18-100w--4026555,Pirelli Cinturato P7 runflat 245/50 R18 100W,['20000.0'],Car,Summer,Pirelli,245,50,R,18,100,W,8019227212723,B,C,Runflat
55,https://www.tyres-online.in/bridgestone-turanza-er-300-205-55-r16-91h--7041149,Bridgestone Turanza ER 300 205/55 R16 91H,['7500.0'],Car,Summer,Bridgestone,205,55,R,16,91,H,3286340552912,C,F,
56,https://www.tyres-online.in/continental-contisportcontact-3-245-40-r18-97y--3833912,Continental ContiSportContact 3 245/40 R18 97Y,['21000.0'],Car,Summer,Continental,245,40,R,18,97,Y,4019238779431,B,D,
57,https://www.tyres-online.in/yokohama-bluearth-ae01--205-60-r15-91h--15958162,Yokohama BluEarth (AE01) 205/60 R15 91H,['6000.0'],Car,Summer,Yokohama,205,60,R,15,91,H,4968814813994,B,C,
58,https://www.tyres-online.in/continental-contisportcontact-5-225-45-r17-91v--14118945,Continental ContiSportContact 5 225/45 R17 91V,['11500.0'],Car,Summer,Continental,225,45,R,17,91,V,4019238524642,B,C,
59,https://www.tyres-online.in/michelin-primacy-hp-235-55-r17-99w--10186948,Michelin Primacy HP 235/55 R17 99W,['15500.0'],Car,Summer,Michelin,235,55,R,17,99,W,3528707856838,B,E,
